item_id	source_lines	rendered_evidence_status	assignment_or_BLOCKED	existing_type_or_decision_request	rationale	tier	tier_basis	observed_trap	confidence
S-07	corpus/EX-math2-20252M/transcript.md:79-81	BLOCKED-no-pNN	진단 배정: SM2-25 주축 + SM2-11 보조	기존 유형 결합 SM2-25/SM2-11; 정식 제안은 pNN 확보 전 HOLD	원 위의 점과 고정 직선 사이 거리의 극값을 정삼각형의 높이·넓이 극값으로 바꾸는 구조로 SM2-25의 원 위 점 거리·넓이 극값과 SM2-11의 점-직선 거리를 결합한다(analysis/catalog/math2.md:176-183,337-343).	T2	원문 배점 3.2점 경계이며 정삼각형 넓이를 점-직선 거리로 환원한 뒤 원의 중심거리±반지름을 적용하는 2~3단계 표준 변형	정삼각형의 변과 높이 관계를 뒤집거나 원 중심에서 직선까지 거리만 쓰고 반지름 가감을 누락하는 오류	medium
S-08	corpus/EX-math2-20252M/transcript.md:82-85	BLOCKED-no-pNN	진단 배정: SM2-01 외심·등거리	기존 유형 SM2-01; 정식 제안은 pNN 확보 전 HOLD	세 꼭짓점에서 같은 거리에 있는 외심의 좌표를 구하는 직접형으로 SM2-01의 외심·등거리 조건과 일치한다(analysis/catalog/math2.md:52-61).	T2	배점 순서 기록상 8번은 3.2점(transcript.md:20); 두 개의 등거리 식을 연립하는 2~3단계 표준 계산으로 T1/T2 경계에서 T2로 판정	세 변의 수직이등분선을 모두 구해 계산을 늘리거나 등거리식을 제곱한 뒤 이차항 상쇄를 놓치는 오류	medium
S-09	corpus/EX-math2-20252M/transcript.md:86-88	BLOCKED-no-pNN	진단 배정: SM2-01 주축 + SM2-09 보조	기존 유형 결합 SM2-01/SM2-09; 정식 제안은 pNN 확보 전 HOLD	포물선과 직선의 두 교점 A,B에서 등거리인 포물선 위 점 P를 찾는 구조로 AP=BP 자취와 수직이등분선 성질을 사용한다(analysis/catalog/math2.md:52-61,156-163).	T2	원문 배점 3.2점이며 교점 확인-등거리 자취-포물선 위 조건-양수 선별의 표준 조건 결합으로 T2 경계	A와 B를 구한 뒤 수직이등분 조건을 누락하거나 P의 양수 x좌표 선별 조건을 적용하지 않는 오류	medium
S-10	corpus/EX-math2-20252M/transcript.md:89-93	BLOCKED-no-pNN	진단 배정: SM2-33 대칭점을 이용한 최단거리	기존 유형 SM2-33; 정식 제안은 pNN 확보 전 HOLD	x축 위 점 C와 y=x 위 점 D를 지나는 세 구간 경로를 대칭이동으로 펴서 최단거리로 환원하는 구조가 SM2-33과 직접 일치한다(analysis/catalog/math2.md:439-452).	T2	원문 배점 3.4점이며 두 대칭축을 순서대로 적용해 직선거리로 바꾸는 3단계 표준 변형; 다만 대칭점 선택이 난도 레버	A와 B 중 어느 점을 어느 축에 대칭할지 뒤바꾸거나 대칭 순서와 경로의 꼭짓점 순서를 혼동하는 오류	medium
S-11	corpus/EX-math2-20252M/transcript.md:94-96	BLOCKED-no-pNN	진단 배정: SM2-12 각의 이등분선·등거리	기존 유형 SM2-12; 정식 제안은 pNN 확보 전 HOLD	두 직선에 동시에 접하는 원의 중심은 두 직선까지 거리가 같은 각의 이등분선 위에 있고 x좌표가 고정되어 두 중심을 선별하는 구조다(analysis/catalog/math2.md:187-195).	T2	원문 배점 3.4점이며 거리 상등의 ± 두 갈래와 x좌표 조건으로 두 중심을 구하는 2~3단계 경우 분기	절댓값의 ± 두 이등분선 중 하나를 누락하거나 반지름 대신 두 중심 사이 거리를 묻는 발문을 놓치는 오류	medium
S-12	corpus/EX-math2-20252M/transcript.md:97-100	BLOCKED-no-pNN	진단 배정: 신규 결정 요청 후보(축 위 점의 거리차 극값)	ID 미부여 결정 요청; SM2-02 확장 또는 별도 유형 여부를 검토하고 정식 제안은 pNN 확보 전 HOLD	x축 위를 움직이는 점 P에 대한 두 거리의 절댓값 차의 최댓값을 묻는 구조는 SM2-02의 거리 극값과 인접하지만 기존 패턴의 제곱합 최소·경로 최소와 정확히 같지 않다(analysis/catalog/math2.md:65-74).	T2	원문 배점 3.5점이며 역삼각부등식의 상한과 등호 성립 가능성을 함께 판단하는 2~3단계 표준-통찰 경계	삼각부등식의 합과 거리차의 역삼각부등식을 혼동하거나 상한만 구하고 x축 위에서 등호가 가능한지 확인하지 않는 오류	low
S-13	corpus/EX-math2-20252M/transcript.md:101-104	BLOCKED-no-pNN	진단 배정: SM2-10 주축 + SM2-11 보조	기존 유형 결합 SM2-10/SM2-11; 정식 제안은 pNN 확보 전 HOLD	k에 따른 직선식을 두 고정 직선의 선형결합으로 보고 공통 교점을 지나는 직선 다발로 해석한 뒤 고정점에서 직선까지 거리의 최댓값을 구하는 구조다(analysis/catalog/math2.md:166-183).	T3	원문 배점 3.5점 경계이며 매개변수식을 직선 다발로 재구성하는 발상과 최대거리 방향을 결합해 DF5가 활성화됨	거리식을 k로 직접 미분·완전제곱하다 구조를 놓치거나 직선 다발의 공통점과 최대가 되는 수직 방향을 혼동하는 오류	medium
S-14	corpus/EX-math2-20252M/transcript.md:105-107	BLOCKED-no-pNN	진단 배정: SM2-25 원 위 점의 개수	기존 유형 SM2-25; 정식 제안은 pNN 확보 전 HOLD	원 위의 점 P에 대해 원점과 P를 잇는 직선의 기울기가 정수인 교점 개수를 세므로 SM2-25의 원 위 점과 개수 요구 변형에 해당한다(analysis/catalog/math2.md:337-343).	T3	원문 배점 3.5점 경계이며 정수 기울기 후보의 범위 설정-직선과 원의 교점 판정-끝값 중복 세기를 결합해 DF8과 E5가 활성화됨	접선인 끝값을 두 점으로 세거나 같은 직선의 두 교점을 기울기별 한 점으로만 세고 수직선 예외를 부당하게 포함하는 오류	medium
S-15	corpus/EX-math2-20252M/transcript.md:108-119; corpus/EX-math2-20252M/_images/bindata/BIN0002.bmp	BLOCKED-no-pNN	진단 배정: SM2-31 이동의 합성과 식 표현	기존 유형 SM2-31 + COMMON_TYPES C-01/C-09 경계 결정 요청; 정식 제안은 pNN 확보 전 HOLD	중심 이동을 만드는 평행·대칭·좌표교환 합성을 f의 식으로 표현한 ㄱ~ㅁ 보기에서 모두 고르는 구조로 SM2-31과 일치한다; BIN0002는 bindata일 뿐 pNN 페이지가 아니다(analysis/catalog/math2.md:407-415).	T3	원문 배점 3.6점이며 다섯 식 각각의 이동·대칭 합성을 판정하는 DF2·DF4·DF9 결합형	도형의 이동 방향과 식의 대입 부호를 같게 쓰거나 x-y 좌표교환과 축대칭을 혼동하고 복수 정답을 하나만 고르는 오류	medium
S-16	corpus/EX-math2-20252M/transcript.md:120-123	BLOCKED-no-pNN	진단 배정: SM2-12 주축 + SM2-21 보조	기존 유형 결합 SM2-12/SM2-21; 정식 제안은 pNN 확보 전 HOLD	두 직선이 이루는 예각의 이등분선과 제1사분면 조건으로 원 위 접점 P를 정한 뒤 그 점에서의 접선 절편을 구하는 구조다(analysis/catalog/math2.md:187-195,293-300).	T3	원문 배점 3.6점이며 각 이등분선 분기-사분면 선별-원과 교점-접선 방정식의 3단계 이상 조건 결합	예각이 아닌 다른 이등분선을 택하거나 제1사분면 선별을 누락하고 접선 공식에서 접점 좌표와 일반 점을 혼동하는 오류	medium
