date	step	target	decision	evidence	reason	confidence	actor
2026-09-04	transcribe	p01(표지)	transcribed	p01	인쇄 선언(총 7쪽·선택형24·서답3)·고사반영비율·유의사항 1~3 전부 확인, 하단 절단 없이 완결됨	high	type-extractor
2026-09-04	transcribe	p02(1~4번)	transcribed	p02	1,3번은 지문·보기·선택지까지 완결. 2,4번은 좌/우단 하단에서 문항 스템만 보이고 절단됨	high	type-extractor
2026-09-04	transcribe	p03(5,7번)	transcribed	p03	5,7번은 지문·흐름도까지는 보이나 <보기>·서술 후반이 하단에서 절단. 6번 문항 번호는 이 쪽에 없음	high	type-extractor
2026-09-04	transcribe	p04(9~12번)	transcribed	p04	9,11번은 지도·선택지까지 완결. 10,12번은 하단에서 스템/자료만 보이고 절단. 8번 문항 번호는 이 쪽에 없음	high	type-extractor
2026-09-04	transcribe	p05(13~15번)	transcribed	p05	13,15번 완결. 14번은 좌단 하단에서 스템만 보이고 절단	high	type-extractor
2026-09-04	transcribe	p06(17,19,20번)	transcribed	p06	17,19,20번 전부 완결. 16,18번 문항 번호는 이 쪽에 없음(좌단 17번 이후 여백, 우단 19-20번 사이 여백 재확인)	high	type-extractor
2026-09-04	transcribe	p07(22,24번)	transcribed	p07	22,24번 모두 지문·<보기>는 보이나 선택지 후반이 하단에서 절단. 21,23번 문항 번호는 이 쪽에 없음	high	type-extractor
2026-09-04	transcribe	p08(단답형1,2)	transcribed	p08	[단답형1] 문화 변동 사례 4건은 완결이나 <문화 변동 분류표> 본문이 좌단 하단에서 절단. [단답형2] 지도+지문은 4번 빈칸 도입부에서 우단 하단 절단. 단답형3은 이 쪽에 없음(8쪽이 마지막 쪽)	high	type-extractor
2026-09-04	transcribe	p02+p03+p04+p05+p06+p07+p08	transcribed	p02~p08	각 쪽이 90도 회전 스캔이며 회전 방향이 쪽마다 다름(p02·04·06·08=시계, p03·05·07=반시계)을 dpi160/260 두 배율로 대조 확인. 좌우 2단 구성이며 각 단 하단은 실제 지면 테두리 종결점(크롭 손실 아님, dpi260 재렌더로 확인)	high	type-extractor
2026-09-04	transcribe	2번	unreadable	p02+좌단하단	"다음 자료에 대한 설명으로 옳은 것은? (단, A~C는 각각 문화"에서 절단. 자료 상자·선택지·배점 전부 확인 불가	high	type-extractor
2026-09-04	transcribe	4번	unreadable	p02+우단하단	"(가), (나)에 대한 설명으로 가장 적절한 것은?[3.5점]"까지만 보이고 자료 상자·선택지 확인 불가	high	type-extractor
2026-09-04	transcribe	5번	unreadable	p03+좌단하단	<보기> ㄱ 항목이 "직접전파에 해"에서 절단. ㄴ 이하 <보기>·선택지 확인 불가	high	type-extractor
2026-09-04	transcribe	6번	unreadable	p02~p08 전체	문항 번호 6번을 8쪽 전체에서 발견하지 못함(dpi160 1차 판독 + dpi260 재확인 2회)	high	type-extractor
2026-09-04	transcribe	7번	unreadable	p03+우단하단	학생 제출 답안 목록 4번이 "농업이"에서 절단. 5번(있다면)·점수 산정 종결부 확인 불가	high	type-extractor
2026-09-04	transcribe	8번	unreadable	p02~p08 전체	문항 번호 8번을 8쪽 전체에서 발견하지 못함(dpi160 1차 판독 + dpi260 재확인 2회)	high	type-extractor
2026-09-04	transcribe	10번	unreadable	p04+좌단하단	자료 본문이 "보행자를 배"에서 절단. 자료 후반부·선택지 확인 불가	high	type-extractor
2026-09-04	transcribe	12번	unreadable	p04+우단하단	"(가)~(다) 기후 지역에 대한 설명으로 옳은 것은? (단,"에서 절단. 조건절·자료·선택지 확인 불가	high	type-extractor
2026-09-04	transcribe	14번	unreadable	p05+좌단하단	"다음 자료는 두 지형의 관광 안내문 중 일부이다. ㉠, ㉡ 지형"에서 절단. 자료·선택지 확인 불가	high	type-extractor
2026-09-04	transcribe	16번	unreadable	p02~p08 전체	문항 번호 16번을 8쪽 전체에서 발견하지 못함(dpi160 1차 판독 + dpi260 재확인 2회)	high	type-extractor
2026-09-04	transcribe	18번	unreadable	p06	문항 번호 18번을 발견하지 못함. p06 좌단은 17번 선택지 ⑤로 끝나고 그 아래 여백, 우단은 19번 다음 곧바로 20번 — 18번이 들어갈 자리가 없음(dpi260 재확인)	high	type-extractor
2026-09-04	transcribe	21번	unreadable	p02~p08 전체	문항 번호 21번을 8쪽 전체에서 발견하지 못함(dpi160 1차 판독 + dpi260 재확인 2회)	high	type-extractor
2026-09-04	transcribe	22번	unreadable	p07+좌단하단	선택지 ④가 "판단하려는"에서 절단(잔여 글자 일부 보이나 판독 불가). ⑤ 선택지는 전혀 보이지 않음	high	type-extractor
2026-09-04	transcribe	23번	unreadable	p02~p08 전체	문항 번호 23번을 8쪽 전체에서 발견하지 못함(dpi160 1차 판독 + dpi260 재확인 2회)	high	type-extractor
2026-09-04	transcribe	24번	unreadable	p07+우단하단	<보기> ㄴ 항목이 "다양한 요소들이"에서 절단. ㄷ,ㄹ(있다면)·선택지 확인 불가	high	type-extractor
2026-09-04	transcribe	단답형1	unreadable	p08+좌단하단	<문화 변동 사례> (가)~(라)는 완결이나 <문화 변동 분류표> 제목만 보이고 표 본문이 하단에서 절단	high	type-extractor
