item_id	type_id	invariant	non_numeric_axis_1	non_numeric_axis_2	structural_difference	nearest_prior	verdict
B/1	[IN-11 + IN-09 + IN-05 · Tier 미확정 · DF1·DF7]	기존 코드의 실행 의미	정상 코드 추적→변환 오류 후 복구 설계	 값→수정 순서의 필요성	길이4의 임의의 정수 리스트를 복원하려고 한다. 첫 차분 반복을 실수로 정방향1,2,3으로 수행한 뒤 원래 복원 반복을 실행하면 항상 복원되는가? [1,2,3,4]로 반박하고, 이미 잘못된 차분 결과만 받은 상황에서 원래 리스트를 복원하는 대입식과 반복 방향을 설계하시오.	output/260910/260910_02_info_composite_b_questions_review.md#1	REVIEW
B/2	[IN-01 + IN-09 + IN-11 + IN-06 · Tier 미확정 · DF1·DF7]	기존 코드의 실행 의미	입력 추적→도착 분포 역구성	 한 해→해 개수 완전성	moves의 각 값을0..3에서 고를 수 있다. hits=[0,2,0,2]가 되게 하는 moves를 하나 구성하고, 가능한 moves 전체의 개수를 구하시오. 출발점마다 도착 칸을 고르는 것과 moves를 고르는 것이 왜 일대일인지 설명하시오.	output/260910/260910_02_info_composite_b_questions_review.md#2	REVIEW
B/3	[IN-19 + IN-04 + IN-06 · Tier 미확정 · DF1·DF7]	기존 코드의 실행 의미	첫 만족→최대 선택으로 요구 변경	 오류 반례→누적 상태 설계	first를 임의의 정수 리스트에 적용할 때, 4보다 큰 값 중 가장 큰 값을 반환하도록 고치려 한다. 조건을 만족하는 값이 없으면0을 반환해야 한다. 첫 return x를 단순히 answer=x로 바꾸고 끝에서 answer를 반환하는 수정이 왜 부족한지 반례와 함께 설명하고, 올바른 수정 코드를 쓰시오.	output/260910/260910_02_info_composite_b_questions_review.md#3	REVIEW
B/4	[IN-22 + IN-15 + IN-13 · Tier 미확정 · DF1·DF7]	기존 코드의 실행 의미	표 합산→요약 정보의 한계	 계산→구별 불가능 자료 설계	각 행의 합만 저장한 표로부터 columns와 max(columns)를 항상 복원할 수 있다는 주장을 판정하시오. 각 원소가0 이상인2×2 표 두 개를 설계하여 행별 합은 서로 같고 전체 총합도 같지만 max(columns)는 다르게 하시오. 무엇이 사라진 정보인지 설명하시오.	output/260910/260910_02_info_composite_b_questions_review.md#4	REVIEW
B/5	[IN-14 + IN-06 + IN-03 · Tier 미확정 · DF1·DF7]	기존 코드의 실행 의미	서로 겹친 조건→결함 구별 시험	 출력→경계 인덱스의 실제 평가	현재 문자열은 A가 있는 위치와 홀수 위치가 일치한다. 한 글자만 바꿔서 원래 조건과 's[i]==A만 검사하는 조건'의 출력이 다르게 되는 문자열을 설계하시오. 별도의 한 글자 변경으로 원래 조건과 'i%2==1만 검사하는 조건'도 구별하시오. 두 경우의 출력과 음수 인덱스 평가 여부를 설명하시오.	output/260910/260910_02_info_composite_b_questions_review.md#5	REVIEW
B/6	[IN-08 + IN-09 + IN-02 · Tier 미확정 · DF1·DF7]	기존 코드의 실행 의미	수치 추적→일반 결과식	 조건 변경→관측값별 동치 구분	길이 n인 임의의 정수 리스트에 대해 right=n-1로 시작한다고 하자. 최종 s를 왼쪽 절반의 합과 오른쪽 절반의 합으로 나타내고, 홀수 길이에서 가운데 값이 영향을 주는지 설명하시오. 조건을 left<=right로 바꾸면 s와 종료 인덱스가 각각 어떻게 달라지는지도 설명하시오.	output/260910/260910_02_info_composite_b_questions_review.md#6	REVIEW
B/7	[IN-20 + IN-19 + IN-04 + IN-06 · Tier 미확정 · DF1·DF7]	기존 코드의 실행 의미	정해진 요청→순서 독립성 반박	 상태 추적→최소 반례	요청 n은 양의 정수이며 stock은 비음수라고 하자. 같은 요청들의 순서를 바꾸어도 최종 stock은 항상 같다는 주장을 가장 짧은 요청 개수의 반례로 반박하시오. 초기 stock=5를 사용하고 두 순서의 승인목록을 쓰시오. 요청을 한 번만 처리하면 왜 반례가 불가능한가?	output/260910/260910_02_info_composite_b_questions_review.md#7	REVIEW
B/8	[IN-21 + IN-10 + IN-11 · Tier 미확정 · DF1·DF7]	기존 코드의 실행 의미	재귀 출력→자료 복원	 두 결과→위치 분할의 완전성	길이4의 정수 리스트 a를 알 수 없지만 f(a)=[8,1], f(a[1:])=[6,4]임을 안다. a를 복원하고 유일함을 설명하시오. 또한 일반 길이에서도 이 두 출력만으로 원래 a를 복원할 수 있는 이유를 인덱스의 홀짝과 출력 순서로 설명하시오.	output/260910/260910_02_info_composite_b_questions_review.md#8	REVIEW
B/9	[IN-14 + IN-06 + IN-11 + IN-03 · Tier 미확정 · DF1·DF7]	기존 코드의 실행 의미	탐색 추적→선택 정당화	 하나의 결과→가능해 비교	pattern='ABA'를 순서를 유지해 고르되 가능한 선택 중 인덱스가 사전식으로 가장 이른 것을 찾으려 한다. 사전식 비교는 첫 번째로 다른 인덱스가 작은 쪽을 앞선 것으로 한다. 현재 코드가 이를 만족하는 이유를 설명하고, text='ABABA'에서 가능한 모든 인덱스 3개로 이루어진 선택과 코드의 선택을 쓰시오.	output/260910/260910_02_info_composite_b_questions_review.md#9	REVIEW
B/10	[IN-08 + IN-09 + IN-11 · Tier 미확정 · DF1·DF7]	기존 코드의 실행 의미	실행→관측 가능한 동치 구별	 정렬 전제→반례	a가 정렬되어 있고 value와 같은 값이 여러 개일 때 <=를 <로 바꾸어도 최종 정수 리스트만 보면 차이가 드러나지 않을 수 있다. 그 이유를 설명하고, 두 프로그램이 다름을 관측하려면 어떤 출력을 추가로 보아야 하는지 쓰시오. 현재 a에서 두 pos를 구하고, 정렬되지 않은 리스트에는 왜 일반화할 수 없는지 반례를 제시하시오.	output/260910/260910_02_info_composite_b_questions_review.md#10	REVIEW
B/11	[IN-22 + IN-09 + IN-11 + IN-04 · Tier 미확정 · DF1·DF7]	기존 코드의 실행 의미	추적→최적성 주장 검토	 결과→대안 배정 구성	현재 규칙은 '현재 부하가 작은 작업대를 고른다'이다. 이것이 최종 두 부하 중 큰 값을 항상 최소화하는가? 양의 정수 처리시간을 갖는 작업2개를 설계해 반박하시오. 시작 부하는[0,0], 동점이면0번을 고른다. 현재 규칙의 결과와 더 나은 배정을 모두 제시하시오.	output/260910/260910_02_info_composite_b_questions_review.md#11	REVIEW
