date	step	target	decision	evidence	reason	confidence	actor
2026-08-27	transcribe	전체 문항(서술형 1~4·단답형 1~18)	transcribed	HWP ViewText/Section1 EQED 188건 + PARA_TEXT 66문단 + hwp2md 텍스트	수식 개체 누락을 원본 제어 레코드와 문단 순서로 재삽입; 문항수 4+18=22, 배점 40.0+60.0=100.0, 결번·중복 0	medium	Codex/OMX
2026-08-27	transcribe	그림 3건(BIN0001~BIN0003)	transcribed	corpus/_images/EX-math2-20252M/bindata 3파일 ↔ 원문 참조 3건	표지 로고·15번 원 이동 도식·17번 포물선/접선/원 도식을 원본 파일과 대조	medium	Codex/OMX
2026-08-27	transcribe	17번 풀이표 (가)	transcribed	원본 EQED 스크립트 154 + 본문/표 제어 레코드	(가) 자리에 `-1/(2a)`가 기록됨. (나) 및 f(k) 값은 본 전사 단계에서 확정하지 않음	medium	Codex/OMX

2026-08-28	transcribe	그림 3건(BIN0001~BIN0003)	corrected	origin_data/2025_2학기_1학년_중간/2025_2학기_중간_1학년_공통수학2_고사원안.hwp:BinData/* -> corpus/EX-math2-20252M/_images/bindata/*	Previously cited image directory was absent; three source streams were re-extracted byte-for-byte. BIN0002.bmp sha256=5bfb3b081a12a0a2967ce3c4f6a4671ffc7960780bcb760432b855dc91b199b0.	high	type-extractor
2026-08-28	transcribe	단답형 15 <보기> 5개	corrected	ViewText/Section1 EQED seqno 1384,1386,1392,1394,1400 + corpus/EX-math2-20252M/_images/bindata/BIN0002.bmp	Five original equation scripts and the embedded diagram were transcribed; no answer or type judgment was added.	high	type-extractor
2026-08-28	transcribe	단답형 17 f 정의	unreadable	ViewText/Section1 EQED seqno 1668 f(a); seqno 1672 f(k)	The source contains symbols f(a) and f(k) but no defining equation for f; final f(k) must not be inferred from the item or answer key.	high	type-extractor
2026-08-28	transcribe	meta.yml answer_key	corrected	docs/DATA_STANDARD.md 5.7 answer_key + origin_data/2025_2학기_1학년_중간/2학기 중간고사 정답 - 1학년.pdf	The shared answer PDF is not an answers.* file within this corpus unit, so answer_key is null; external answer-key comparison requires an explicit frozen input.	high	type-extractor
2026-08-31	classify	서술형 1~4 + 단답형 1~18 (22문항)	classified	transcript.md L31-L145 + analysis/catalog/math2.md SM2-01~33	21문항에 기존 SM2 유형을 배정했다(SM2-01·02·03·08·09·11·12·14·15·19·21·25·26·27·31·33). 단답형 17은 원본 EQED에 f의 정의식이 없어 BLOCKED로 두고 유형 관측만 기록했으며 신규 유형ID를 부여하지 않았다. 렌더 페이지 pNN.png 0건이므로 증거 좌표는 transcript 행번호로 대체했다.	medium	type-proposer
2026-08-31	merge	유형군 10군 통합 + 상태 승격 16종 제안	merged	transcript.md L20 (배점 순서열), L109-L119 (보기 다중선택), L139-L145 (4겹 조건 결합)	공통수학2 첫 기출이므로 검증(부교재)->검증 승격 16종과 미출제 17종의 관측범위 한정 주석을 제안했다. 별표는 연도 반복 축으로 재산정해 전건 별1개이며 부교재 문항수 축 별표는 삭제하지 않고 병기했다. COMMON_TYPES C-09의 4개 문장(보기 0건/그림 단원편중/정수 환산 장치/판별식 0건)이 기출 실측과 어긋나 정정안을 제출했다.	medium	type-proposer
2026-08-31	grade	Tier 판정 21문항 (BLOCKED 1 제외)	graded	transcript.md L18-L20 (배점 실측) + analysis/catalog/DIFFICULTY_RUBRIC.md 3절 Tier표	단답형 최고 배점이 3.7점이어서 루브릭 3절의 T4 하한 3.8을 넘는 문항이 0개가 된다. 배점 밴드를 쓰면 킬러가 0문항이라는 결론이 나오므로 DF 구조로 판정했다(T1 5 / T2 4 / T3 7 / T4 5). 루브릭 재보정은 자의 개정이므로 제안자가 하지 않고 결정요청 DQ-SM2-1로 올렸다.	medium	type-proposer
2026-08-31	merge	공통패턴 CP-SM2-1 재구조화 (6과목 배점 배분)	merged	EX-{math2,korean,english,science,social,history}-20252M transcript 배점 표식 전수 추출	tier-1 기각 판정을 rev-auditor 재측정으로 회부받아 6과목 코퍼스에서 독립 재측정했다. 회람 수치를 복사하지 않고 정규식으로 본문 배점 표식을 전수 추출해 합산한 결과 총점은 6/6 전건 100.0으로 예외가 없고 선택:서답 60:40은 4/6(수학2·국어·과학·사회)이며 예외는 영어 70:30과 한국사 40:60이다. 따라서 기각이 아니라 강(총점 100.0 무예외)/중(60:40 기본값)/약(과목별 조정) 3층으로 재구조화했다. 부수 발견 INT-CP-1: 국어 전사본 L36 주석의 선택형 합 60.4가 같은 줄이 열거한 29개 값의 합 60.0과 어긋나며 이 오류가 종전 근거란의 국어 100.4 인용원이었다. 국어 문서는 소유자가 아니므로 수정하지 않고 DQ-SM2-5로 상신한다.	medium	type-proposer
