item_id	type_id	invariant	non_numeric_axis_1	non_numeric_axis_2	structural_difference	nearest_prior	verdict
1	IN-01	정수 나눗셈·나머지·거듭제곱의 정의와 연산자 우선순위	요구 행동: 한 식의 값 계산 → 다섯 식의 값 비교·최대 선별	선지 구성: 값이 선지 → 식 자체가 선지	기출은 식을 한 번 계산하면 끝나지만 이 문항은 다섯 식을 각각 계산해 크기를 비교해야 하고, 피연산자 순서를 뒤집은 b%a가 판정을 가른다	EX-info-20252M 선택 1·16	PASS
2	IN-03	비교·논리 연산의 진리값	응답 형태: 단일 불리언 → 세 줄 출력의 순서열	조건 구성: 한 변수의 범위 판정 → 산술 결과가 비교의 피연산자가 되는 2단 구성	기출은 a 하나의 범위만 보지만 이 문항은 나머지·몫을 먼저 계산해야 비교가 성립해 산술→비교→논리 3층을 통과한다	EX-info-20252M 선택 2	PASS
3	IN-04	조건 분기에서 처음 참이 되는 가지만 실행된다	구조: 단일 분기 → 분기 뒤 2차 조건이 값을 한 번 더 갱신하는 2단 구조	목표량: 출력 문자열 하나 → 두 변수의 최종 상태 쌍	기출은 어느 가지가 실행되는지만 묻지만 이 문항은 가지 선택의 결과가 다음 조건의 입력이 되어 상태를 되짚어야 한다	EX-info-20252M 선택 9	PASS
4	IN-05	range의 끝값은 결과에 포함되지 않는다	방향: 정방향(코드→출력) → 역산(출력→코드)	응답 형태: 수열 선택 → range 표기 선택	기출은 주어진 range를 전개하면 끝나지만 이 문항은 출력 수열에서 시작값·증감값·끝값 세 인자를 동시에 역추적해야 하며 끝값 경계가 정답을 가른다	EX-info-20252M 선택 10 · SUP-info-2026-01 p01	PASS
5	IN-08	while은 조건이 거짓이 되는 순간 종료한다	갱신 방향: 증가 누적 → 정수 나눗셈에 의한 감소	목표량: 누적합과 보조변수의 합 → 종료 시점의 값과 반복 횟수의 쌍	기출은 합이 임계를 넘는 시점을 찾지만 이 문항은 값이 임계 아래로 내려가는 시점을 찾고 반복 횟수를 따로 세게 해 종료 조건과 카운트를 분리한다	EX-info-20252M 선택 18	PASS
6	IN-09	리스트 인덱스는 0부터 시작한다	방향: 값 계산 → 주어진 값을 만드는 식 역산	자료형: 문자열 원소 결합 → 음수를 포함한 정수 원소의 부호 처리	기출은 a[1]+a[2]가 문자열 결합임을 아는지 묻지만 이 문항은 다섯 식을 모두 계산해 목표값 24를 만드는 하나를 찾게 한다(260909 S9 B-1 재설계 — 전 원소가 양의 정수라 IN-09 등재 함정 3종이 모두 비활성이던 것을 고쳐, 음수 원소의 부호를 무시하면 ①이·인덱스를 1부터 세면 ②가 각각 정확히 24가 되도록 배치했다. 전 선지 실행 검증)	EX-info-20252M 선택 4	PASS
7	IN-10	슬라이싱의 끝값은 결과에 포함되지 않는다	구조: 한 번의 슬라이스 → 두 슬라이스 결과를 다시 인덱싱하고 길이를 재는 3단 구성	목표량: 부분 리스트 → 세 값의 합(정수)	기출은 슬라이스 결과를 고르면 끝이지만 이 문항은 슬라이스 결과를 중간값으로 삼아 인덱싱·길이 측정을 이어가 오답 넷이 모두 서로 다른 경계 실수에서 나온다	EX-info-20252M 선택 13	PASS
8	IN-12	insert는 지정한 인덱스 자리에 원소를 끼워 넣는다	방향: 기능 서술→함수명 식별 → 실행 전후 상태→코드 역산	자극 표현: 코드 제시 → 실행 전후 상태 스냅숏 제시	기출은 함수의 뜻만 알면 풀리지만 이 문항은 삽입 위치까지 특정해야 하고 append와 insert(0)이 각각 다른 자리로 오답을 만든다	EX-info-20252M 선택 5 · SUP-info-2026-02 p01 insert 실습	PASS
9	IN-13	내장 함수의 반환값과 산술 연산자 우선순위	자료 출처: 한 리스트 → 서로 다른 두 리스트에서 교차 인용	연산 구조: 네 값의 단순 합 → 곱셈이 섞인 우선순위 판단	기출은 같은 리스트에서 네 함수를 더하기만 하지만 이 문항은 max와 min이 서로 다른 리스트에 걸려 소속을 뒤바꾸는 오답과 우선순위를 무시하는 오답이 동시에 성립한다	EX-info-20252M 선택 14	PASS
10	IN-16	식별자는 문자·밑줄로 시작하고 공백·특수문자를 포함할 수 없다	판정 극성: 규칙 위배 하나 찾기 → 사용 가능한 하나 찾기(다섯 개 전부 판정)	선지 설계: 위반 유형 1종 → 숫자 시작·공백·하이픈·특수문자 4종 분산	기출은 눈에 띄는 하나만 걸러내면 되지만 이 문항은 다섯 개를 각각 다른 규칙으로 검사해야 하고 밑줄 시작이 유효하다는 사실이 정답의 근거다(재설계 260908 — 초안은 기출 7번과 발문·정답 구조가 사실상 동일했다)	EX-info-20252M 선택 7	PASS
