item_id	type_id	invariant	non_numeric_axis_1	non_numeric_axis_2	structural_difference	nearest_prior	verdict
A/1	IN-01 + IN-02 + IN-08	제시된 기본 파이썬 연산·순회·변경의 의미	연산 결합: 순차 몫·나머지로 만든 역순값과 원래 값의 가중합	요구 방향: 출력 추적 대신 올림이 결합된 미지 입력 전수 복원	최단 풀이: 역순 의미 → 양끝 올림 연립 → 정수·범위 소거 → 안쪽 자리쌍 → 중앙과 중복 검증. 무작정 여섯 자리를 열거하는 대신 서로 먼 자리를 같은 올림 체계로 묶어야 한다. 올림 후보를 제한한 뒤의 작은 표는 발상 이후의 검산이며 발문은 그 표나 후보를 주지 않는다. 최고 난도 합격은 독립 확인 전 미확정.	기존 A/1의 단순 연산·조건 설명을 대체. IN-01 피연산자 구조, IN-02 갱신 순서, IN-08 몫에 따른 종료. 기출 최고 난도 원천 비교 미확인.	REVIEW
A/2	IN-07 + IN-09 + IN-11	제시된 기본 파이썬 연산·순회·변경의 의미	리스트 변경: 제자리 갱신 아닌 동시 갱신을 여러 회 합성	종료 요구: 최종 영 상태가 아닌 최초 영 상태와 원소 개수 결합	최단 풀이: 두 번 합성의 소거 → 8회 상태의 반쪽 동일성 → 개수 제약의 짝수성 → 더 이른 소멸 강제. 단순 반복 16칸×8회는 특정 입력만 확인하며 모든 입력 불가능성은 설명하지 못한다. 최고 난도 미확정.	기존 A/2를 상태 추적에서 종료 시점의 역조건·불가능성으로 대체. IN-07 중첩 누적, IN-09 순환 인덱스, IN-11 변경 방식. 최고 원천 비교 미확인.	REVIEW
A/3	IN-08 + IN-15 + IN-22	제시된 기본 파이썬 연산·순회·변경의 의미	순회 자료: 단순 원소 합이 아닌 행 순서가 즉시 갱신의 전달을 결정	요구 행동: 한 실행 추적 대신 특정 종료 회차의 입력 순서 개수	최단 풀이: 경로상 다음 간선의 시간 순서 → 순회 경계 수 → 역순열의 일대일 대응 → 삽입 위치 분류와 계수. 기본 문법 밖 알고리즘을 코드에 숨기지 않았으나 순열 계수 유도의 수학적 부담·공식 시험범위는 독립 검토 대상이다. 같은 회차 6회 추적으로 전체 순서 수를 얻을 수 없다.	기존 A/3과 B/14의 회전 복원 동형성을 제거하는 재설계. IN-22 행 순회와 IN-15 접근, IN-08 상태 기반 종료. 기출 최고 수준 비교 미확인.	REVIEW
A/4	IN-04 + IN-11 + IN-14	제시된 기본 파이썬 연산·순회·변경의 의미	변경 종류와 순서: 값 치환 후 인덱스 삭제를 선택적으로 반복	요구 방향: 최종값 계산 아닌 모든 도달 가능 정상 상태와 경계 구성	최단 풀이: 비증가 가중합의 나머지 → 교대 종료 구조 → 후보 길이 제한 → 모든 후보 구성 → 삭제 인덱스 실현. 불변량만으로 충분성을 넘겨짚는 우회를 구성 요구가 차단한다. t별 숫자 대입을 독립 발상 수로 세지 않는다. 정식 최고 난도 판단 미완료.	기존 A/4의 고정 분기 추적을 대체. IN-11 대입·삭제의 순서와 IN-04 값 조건, IN-14 문자열형 자료 인덱스. 최고 원천 비교 미확인.	REVIEW
A/5	IN-08 + IN-11 + IN-13	제시된 기본 파이썬 연산·순회·변경의 의미	조건의 결합: 현재 리스트 전체합과 길이가 매 회 생존 경계를 다시 결정	요구 행동: 반복 횟수 극대 상황에서 입력 크기 최소화 및 달성 유일성	최단 풀이: 종료 횟수의 상한 → 매번 하나 제거 강제 → 다음 원소의 생존식 → 간격으로 상쇄 → 연쇄 최솟값과 실현. 단순 크기순 나열이나 마지막 두 수 비교만으로 앞쪽 간격을 결정할 수 없다. 코드 길이나 77이라는 값은 난도 근거가 아니다. 최고 난도는 독립 판정 전 미확정.	기존 A/5의 고정 범위 반복을 동적으로 줄어드는 리스트의 최악 입력 설계로 대체. IN-13 합·길이 조합과 IN-11 새 리스트 구성, IN-08 종료. B/7의 승인·환급 순서 최적화와 달리 순서는 고정이고 평균 경계가 변한다. 최고 원천 비교 미확인.	REVIEW
A/6	IN-04 + IN-06 + IN-09	제시된 기본 파이썬 연산·순회·변경의 의미	누적 조건: 용량마다 승인 부분집합이 달라지되 입력 순서는 공통	요구 방향: 여러 실행 관측과 전체합으로 뒤쪽부터 미지 순서 복원	최단 풀이: 전체합 직전 용량의 마지막 거절 → 두 번째 관측에서 잔여 용량 분기 → 작은 용량과 중복 금지 → 순서 결정. 한 관측을 역대입하는 것으로 정답이 결정되지 않는다. B/7의 환급·최소 초기재고 문제와 달리 환급이 없고 목적은 공통 입력 복원이다. 최고 수준은 미확정.	기존 A/6의 용량 경계 설명을 본문부터 다중 관측 역문제로 교체. IN-04 경계·분기와 IN-06 조건 누적·IN-09 순서. 기존 A6 보정 이력은 보존하며 새 입력에는 과거 검증을 승계하지 않는다.	REVIEW
A/7	IN-07 + IN-15 + IN-22	제시된 기본 파이썬 연산·순회·변경의 의미	누적 대상: 단순 원소 합 아닌 행쌍별 공통 열 수의 제곱	입력 제약: 행·열 합과 고정 열을 함께 만족하는 최적 표의 전수 형태	최단 풀이: 열을 행쌍으로 재표현 → 행 합에서 반대편 개수 결합 → 불가능한 균등 하한 배제 → 두 정수 최적 형태 → 고정 열·중복을 반영한 계수. 반복문 횟수 증가 자체가 난도 근거는 아니다. 최고 난도 미확정.	기존 A/7의 이중 반복 누적을 제약된 표 구성과 최적성 문제로 교체. IN-22 행/열 인덱스 조건과 IN-15 2차원 접근, IN-07 누적. B/13의 겹친 구간합 역산과 풀이 구조가 다르다. 최고 원천 비교 미확인.	REVIEW
A/8	IN-14 + IN-15 + IN-22	제시된 기본 파이썬 연산·순회·변경의 의미	자료 표현: 문자열 한 번 추적에서 겹친 인접쌍 빈도표의 역문제로 전환	요구 행동: 지역적 연결 순서와 전체 연결 가능성을 함께 검증하는 계수	최단 풀이: 인접쌍을 연결로 보기 → 문자별 출발/도착 균형 → 마지막 떠남의 순환 배제 → 충분성의 조기 종료 반증 → 일대일 계수. 알려진 그래프 공식은 전제하지 않고 본문 코드와 연결의 개수만으로 유도한다. 단순히 6³을 곱하면 불가능한 연결을 포함한다. 수학적 부담과 최고 난도는 독립 검토 대상이다.	기존 A/8을 인접쌍 기록의 전수 복원으로 교체. IN-14 이웃 문자 접근, IN-15 빈도표 원소, IN-22 인덱스 조건 누적. A/22의 같은 문자 삭제·스택 이력과는 연결 보존 조건 및 계수 골격이 다르다. 최고 원천 비교 미확인.	REVIEW
A/9	IN-06 + IN-07 + IN-09	제시된 기본 파이썬 연산·순회·변경의 의미	인덱스 조건: 선형 순회가 아닌 여러 순환 시작점의 모든 접두 조건	요구 행동: 전체 입력에 대한 가능 개수와 공통 누적합 기반 판별 방법	최단 풀이: 전체합과 한 칸 상승 → 마지막 낮은 두 수준 → 비순환/순환 구간 양수성 → 다른 시작점 배제. 개별 배열을 전수 실행한 표로 보편 명제를 대체할 수 없다. 알려진 순환 보조정리 이름이나 공식을 전제하지 않는다. 최고 난도 미확정.	기존 A/9의 인덱스 결과 추적을 순환 시작점의 보편 특성으로 교체. IN-09 나머지 인덱스, IN-06 조건 누적, IN-07 시작점별 이중 반복. B/18의 미지 점프표 복원과는 고정 이동·접두합의 전수 조건이 다르다. 최고 원천 비교 미확인.	REVIEW
A/10	IN-08 + IN-09 + IN-11	제시된 기본 파이썬 연산·순회·변경의 의미	변경 기준: 현재 원소 값이 다음 교환 위치를 정하는 간접 인덱스	요구 행동: 거리 제한 아래 최대 변경 횟수와 모든 최적 초기 상태 복원	최단 풀이: 간접 교환을 고리 축소로 해석 → 교환 수와 고리 수 연결 → 거리 제한을 이웃 제약으로 변환 → 조기 폐쇄를 배제하여 전체 연결 강제 → 두 방향 복원. 입력 하나의 실행 추적 또는 9라는 상한만으로 모든 최적 입력은 정해지지 않는다. 고리라는 표현은 풀이 중 도출하며 별도 그래프 알고리즘을 선수 지식으로 요구하지 않는다. 수학적 부담과 최고 원천 비교는 독립 검토 전이다.	기존 A/10의 슬라이싱 추적을 보존하지 않는 실질 재설계. 승인 IN-09 간접 인덱싱, IN-11 변경 순서, IN-08 종료 조건의 결합. A/3의 간선 실행 순서 계수 및 A/8의 두 글자 기록 계수와 달리 입력 순열의 고리 축소·거리 제약의 최적 입력 복원이 핵심이다. 최고 수준·범위 미확정.	REVIEW
