date	step	target	decision	evidence	reason	confidence	actor
2026-09-09	transcribe	p01(표지)	transcribed	native/p01.png	인쇄 선언(총 9쪽·선택형23문항·서답형7문항)·고사반영비율(중간30/기말30/수행40)·유의사항 1~5 전부 확인, 절단 없이 완결. 회전각 -90	high	main-loop
2026-09-09	transcribe	p02(1~3번, 인쇄1면)	transcribed	native/p02.png	선택형 안내 박스 확인. 1,2,3번 지문·발문·선택지·배점 완결. 2번과 3번이 지문 공유. 회전각 +90, 꼬리말 '전체 9면 중 1면'	high	main-loop
2026-09-09	observed	갈래 명칭 표기 불일치	printed-as-is	p01 표지 인쇄 선언 대 p02 좌단 안내 박스	표지는 '서답형( 7 )문항', 본문 안내 박스와 각 문항 머리는 '단답형'으로 인쇄되어 있다. 어느 쪽이 옳은지는 판단하지 않고 두 관측 사실만 기록(원칙 1). 전사문 절 제목은 표지 선언 표기를 따랐다	high	main-loop
2026-09-09	transcribe	p03(4~7번, 인쇄2면)	transcribed	native/p03.png	4,5,6,7번 완결. 공통 발문 '[4-5]'·'[6-7]'이 각 1회 인쇄되나 지문은 문항별로 독립. 회전각 -90, 꼬리말 '전체 9면 중 2면'	high	main-loop
2026-09-09	observed	배점 표기 위치	printed-as-is	p03 4~7번	이 유닛의 일부 문항은 배점 표기가 발문 줄이 아니라 지문 마지막 문장 뒤에 인쇄된다(예: '… to medicine. [3.2점]'). 전사에서는 중복 계수를 피하려 해당 사실을 ANNOT 줄에만 적었다	high	main-loop
2026-09-09	transcribe	p04(8~10번+단답형1, 인쇄3면)	transcribed	native/p04.png	8,9번(지문 공유, 순서배열+빈칸)·단답형1·10번 완결. 회전각 +90, 꼬리말 '전체 9면 중 3면'	high	main-loop
2026-09-09	transcribe	p05(11~12번+단답형2, 인쇄4면)	transcribed	native/p05.png	11,12번 및 단답형2 완결. 세 문항이 지문 [A]를 공유하고 단답형2는 별도 지문 [B]를 함께 쓴다. 회전각 -90, 꼬리말 '전체 9면 중 4면'	high	main-loop
2026-09-09	transcribe	p06(13~14번+단답형3, 인쇄5면)	transcribed	native/p06.png	13번(독립 지문)·14번 및 단답형3(지문 공유) 완결. 회전각 +90, 꼬리말 '전체 9면 중 5면'	high	main-loop
2026-09-09	transcribe	p07(15~17번+단답형4, 인쇄6면)	transcribed	native/p07.png	15,16번(지문 공유)·17번 및 단답형4(지문 공유, (가)/(나) 라벨) 완결. 회전각 -90, 꼬리말 '전체 9면 중 6면'	high	main-loop
2026-09-09	transcribe	p08(18~20번+단답형5, 인쇄7면)	transcribed	native/p08.png	18번·단답형5·19번·20번 완결. 20번은 문장삽입(( ① )~( ⑤ )), 어휘 주석 3종 인쇄 확인. 회전각 +90, 꼬리말 '전체 9면 중 7면'	high	main-loop
2026-09-09	transcribe	p09(21번+단답형6, 인쇄8면)	transcribed	native/p09.png	21번 및 단답형6 완결. 지문 [A](좌단)와 [B](우단) 두 개를 함께 쓰며 [B]에 밑줄 기호 ⓐ~ⓓ 인쇄. 어휘 주석 3종 확인. 회전각 -90, 꼬리말 '전체 9면 중 8면'	high	main-loop
2026-09-09	transcribe	p10(22~23번+단답형7, 인쇄9면)	transcribed	native/p10.png	22번(요약 (A)/(B) 2열 선택지)·23번(순서배열)·단답형7 완결. 어휘 주석 3+3+1종 확인. 최하단 '● 수고하였습니다.'로 종료. 회전각 +90, 꼬리말 '전체 9면 중 9면'	high	main-loop
2026-09-09	policy	전 지문(p02~p10)	summarized-not-reproduced	corpus/_README.md §2-a · corpus/_images/EX-english-20261F/p02~p10.png	260909 신설된 P-지문 예외를 이 유닛에는 처음부터 전면 적용했다(scope: full). 지문 본문 대신 이미지 링크 + 구조 사실(단락 수·어휘 수·첫5어/끝5어·빈칸 위치와 형태·밑줄 어구·지시문·어휘 주석)로 기록. 발문·선택지·조건/보기/요약문/답안란 박스·배점은 축자 전사 유지. 원본은 origin_data/ 와 corpus/_images/ 에 보존되어 3중 축 소급 검증 유지	high	main-loop
2026-09-09	verify	선택형 배점 합계	80.0	transcript.md '판독 상태 총괄' 자체 열거식 + tools/measure_score_bands.py	3.3+3.4+3.3+3.2+3.2+3.9+3.8+3.2+3.4+3.4+3.2+3.4+3.5+3.4+3.4+3.5+3.5+3.1+3.5+3.8+3.5+3.9+4.2 = 80.0. 자 실행 결과 extracted n=23 sum=80.0 declared 23 으로 일치	high	main-loop
2026-09-09	verify	서답형 배점 합계	20.0	transcript.md '판독 상태 총괄' 자체 열거식	2+2+3+2+4+4+3 = 20.0. 부분배점이 인쇄된 문항(단답형1·3·5·6)은 부분 합이 총점과 정합(1+1=2, 1+2=3, 1x4=4, 1+3=4). 선택형 80.0 + 서답형 20.0 = 100.0	high	main-loop
2026-09-09	verify	문항 수 대조	30	표지 인쇄 선언 '선택형( 23 )문항, 서답형( 7 )문항' 대 전사 문항 머리 실측	transcript.md 문항 머리 '### ' 실측 30개(선택형 23 + 서답형 7) = 인쇄 선언 30. 차 0, unreadable 행 0건	high	main-loop
2026-09-10	observed	meta.yml: render_dpi 이중성(EX-english-20261F)	documented-not-decided	PyMuPDF page.rect + extract_image 실측 4299x3035 / rect 1033.4x729.6 -> round(w*72/W)=300, 전 쪽 uniform	분모 기준본 pNN.png는 dpi160 렌더, 판독 기준본 native/pNN.png는 계산 실효 dpi 300. 필드가 어느 쪽을 가리키는가에 대해 DATA_STANDARD §5.7(pNN.png 인자)과 260903_04 C-A1-3(native 실효 dpi)이 서로 다르게 규정하므로 실행 레인이 값을 바꾸지 않고 두 사실을 주석으로 병기했다(원칙 12-a 결정요청 상신). 값 변경 없음이므로 corrected 행이 아니다(260903_04 C-A4-iii)	high	main-loop
