item_id	section	number	source_path	start_line	end_line	pilot_wave
W-01	written	1	corpus/EX-math2-20252M/transcript.md	31	34	pilot-01
W-02	written	2	corpus/EX-math2-20252M/transcript.md	35	38	pilot-01
W-03	written	3	corpus/EX-math2-20252M/transcript.md	39	43	pilot-01
W-04	written	4	corpus/EX-math2-20252M/transcript.md	44	48	pilot-01
S-01	short-answer	1	corpus/EX-math2-20252M/transcript.md	52	54	pilot-01
S-02	short-answer	2	corpus/EX-math2-20252M/transcript.md	55	59	pilot-01
S-03	short-answer	3	corpus/EX-math2-20252M/transcript.md	60	64	pilot-01
S-04	short-answer	4	corpus/EX-math2-20252M/transcript.md	65	69	pilot-01
S-05	short-answer	5	corpus/EX-math2-20252M/transcript.md	70	73	pilot-01
S-06	short-answer	6	corpus/EX-math2-20252M/transcript.md	74	78	pilot-01
S-07	short-answer	7	corpus/EX-math2-20252M/transcript.md	79	81	wave-02a
S-08	short-answer	8	corpus/EX-math2-20252M/transcript.md	82	85	wave-02a
S-09	short-answer	9	corpus/EX-math2-20252M/transcript.md	86	88	wave-02a
S-10	short-answer	10	corpus/EX-math2-20252M/transcript.md	89	93	wave-02a
S-11	short-answer	11	corpus/EX-math2-20252M/transcript.md	94	96	wave-02a
S-12	short-answer	12	corpus/EX-math2-20252M/transcript.md	97	100	wave-02a
S-13	short-answer	13	corpus/EX-math2-20252M/transcript.md	101	104	wave-02a
S-14	short-answer	14	corpus/EX-math2-20252M/transcript.md	105	107	wave-02a
S-15	short-answer	15	corpus/EX-math2-20252M/transcript.md	108	119	wave-02a
S-16	short-answer	16	corpus/EX-math2-20252M/transcript.md	120	123	wave-02a
S-17	short-answer	17	corpus/EX-math2-20252M/transcript.md	124	137	wave-02b
S-18	short-answer	18	corpus/EX-math2-20252M/transcript.md	138	146	wave-02b
