item_id	section	number	source_path	start_line	end_line	derivation_rule
W-01	written	1	corpus/EX-math2-20252M/transcript.md	31	34	rule_a
W-02	written	2	corpus/EX-math2-20252M/transcript.md	35	38	rule_a
W-03	written	3	corpus/EX-math2-20252M/transcript.md	39	43	rule_a
W-04	written	4	corpus/EX-math2-20252M/transcript.md	44	49	rule_a
S-01	short-answer	1	corpus/EX-math2-20252M/transcript.md	52	54	rule_a
S-02	short-answer	2	corpus/EX-math2-20252M/transcript.md	55	59	rule_a
S-03	short-answer	3	corpus/EX-math2-20252M/transcript.md	60	64	rule_a
S-04	short-answer	4	corpus/EX-math2-20252M/transcript.md	65	69	rule_a
S-05	short-answer	5	corpus/EX-math2-20252M/transcript.md	70	73	rule_a
S-06	short-answer	6	corpus/EX-math2-20252M/transcript.md	74	78	rule_a
S-07	short-answer	7	corpus/EX-math2-20252M/transcript.md	79	81	rule_a
S-08	short-answer	8	corpus/EX-math2-20252M/transcript.md	82	85	rule_a
S-09	short-answer	9	corpus/EX-math2-20252M/transcript.md	86	88	rule_a
S-10	short-answer	10	corpus/EX-math2-20252M/transcript.md	89	93	rule_a
S-11	short-answer	11	corpus/EX-math2-20252M/transcript.md	94	96	rule_a
S-12	short-answer	12	corpus/EX-math2-20252M/transcript.md	97	100	rule_a
S-13	short-answer	13	corpus/EX-math2-20252M/transcript.md	101	104	rule_a
S-14	short-answer	14	corpus/EX-math2-20252M/transcript.md	105	107	rule_a
S-15	short-answer	15	corpus/EX-math2-20252M/transcript.md	108	119	rule_a
S-16	short-answer	16	corpus/EX-math2-20252M/transcript.md	120	123	rule_a
S-17	short-answer	17	corpus/EX-math2-20252M/transcript.md	124	137	rule_a
S-18	short-answer	18	corpus/EX-math2-20252M/transcript.md	138	146	rule_a
