group_id	member_item_ids	type_disposition	variation_axis_1	variation_axis_2	observed_trap	importance_source_axis	common_types_disposition	catalog_disposition
DIAG-G01	W-01,S-02	재사용 진단군: SM2-08 평행·수직 조건	직선 제시 방식: 기준 일반형 직선과 통과점 ↔ 미정계수 두 직선	요구값: 직선 방정식 ↔ 두 계수의 조합값	일반형 기울기 부호, 음의 역수, 평행 조건을 서로 바꾸는 오류	기출축 ★(2025-2M 1회; W-01,S-02) / 부교재축 SM2-08 ★★(2문항; math2.md:147-153)	C-05는 채점조건 부재로 insufficient이며 서술형·단답형 형식만 관찰; C-09 구하시오형 강화	SM2-08 actual-exam diff 후보; no pNN이라 status와 frequency 변경 HOLD
DIAG-G02	W-02,S-06	재사용 진단군: 원 결정 단계 공유; W-02는 SM2-15, S-06은 SM2-15 후 SM2-19	원 결정 정보: 지름 양 끝점 ↔ 기존 중심과 통과점	최종 요구: 원의 방정식 ↔ 좌표축이 만드는 현의 길이	지름과 반지름, 중심 부호, 중심-축 거리와 반현을 혼동하는 오류	기출축 ★(2025-2M 1회; W-02,S-06) / 부교재축 SM2-15 ★★, SM2-19 ★★(math2.md:234-242,275-281)	C-05 insufficient·형식만 관찰; C-09 구하시오형 강화	SM2-15와 SM2-19의 단계 결합 evidence로만 유지; 단일 canonical type 주장은 하지 않으며 no pNN HOLD
DIAG-G03	W-03,S-15	재사용 진단군: SM2-31 이동 합성과 식 표현	합성 방식: 평행이동 후 x축 대칭 ↔ 평행이동·축대칭·좌표교환 후보 판정	응답 구조: 최종 원의 방정식 직접 작성 ↔ f(x,y) 식 ㄱ~ㅁ 복수판정	합성 순서, 대칭 부호, 도형 이동과 식 대입의 반대 방향을 혼동하는 오류	기출축 ★(2025-2M 1회; W-03,S-15) / 부교재축 SM2-31 ★★(2문항; math2.md:407-415)	C-05 insufficient·형식만 관찰; S-15는 C-01 exact match가 아니며 C-09의 수학 ㄱㄴㄷ 0건 문구와 경계 evidence	SM2-31 actual-exam diff 후보와 C-01/C-09 decision request; no pNN HOLD
DIAG-G04	W-04	단독 primary-generator 진단군: SM2-27 포물선 이동 역추적 + SM2-11 평행선 거리	이동량 제시: 두 포물선의 정점 비교 ↔ 직접 이동벡터 제시	후속 요구: 이동된 직선의 상 ↔ 원래 직선과의 거리·절편·넓이	계수 비교로 이동량을 오판하거나 직선 이동식 부호와 거리 분모를 틀리는 오류	기출축 ★(2025-2M 1회; W-04) / 부교재축 SM2-27 ★★, SM2-11 ★★(math2.md:176-183,363-369)	C-05 insufficient·서술형 형식만 관찰; C-09 방정식·구하시오형 강화	SM2-27 primary generator와 SM2-11 보조 결합 diff 후보; source span은 transcript.md:44-48; no pNN HOLD
DIAG-G05	S-03	단독 primary-generator 진단군: SM2-26 점의 평행이동	이동벡터: 양·음 방향과 x·y 성분 변경	이동 후 조건: 특정 직선 위 ↔ 축 위·특수점 관계	음의 이동 방향을 반대로 적용하거나 원래 점을 이동 후 조건식에 대입하는 오류	기출축 ★(2025-2M 1회; S-03) / 부교재축 SM2-26 ★★(2문항; math2.md:354-360)	C-05 insufficient·단답 형식만 관찰; C-09 구하시오형 강화	SM2-26 actual-exam diff 후보; SM2-27/31과 합치지 않으며 no pNN HOLD
DIAG-G06	S-01,S-04	재사용 진단군: SM2-03 내분점; S-04는 SM2-08 후속 결합	내분점 역할: 좌표 직접 요구 ↔ 수직 직선의 통과점으로 사용	조건 깊이: 내분비만 ↔ 내분 뒤 기울기·절편 결정	내분 가중치 순서를 뒤집거나 수직 기울기와 절편 조건을 누락하는 오류	기출축 ★(2025-2M 1회; S-01,S-04) / 부교재축 SM2-03 ★★, SM2-08 ★★(math2.md:78-86,147-153)	C-05 insufficient·단답 형식만 관찰; C-09 구하시오형 강화	SM2-03 직접형과 SM2-08 후속 결합 diff 후보; S-18은 이 군에서 제외; no pNN HOLD
DIAG-G07	S-05	단독 decision-request 진단군: 매개변수 직선 교점의 사분면 범위	매개변수 배치: 기울기 ↔ 절편·일반형 계수	영역 조건: 제1사분면 ↔ 다른 사분면·반평면과 strict boundary	교점 유리식의 분모 부호, 축 제외, 두 부등식 교집합을 누락하는 오류	기출축 ★(2025-2M 1회; S-05) / 부교재축 exact match 미확인, 인접 SM2-07 ★★(math2.md:137-145)	C-05 insufficient·단답 형식만 관찰; C-09 범위형과 E5 경계 evidence	SM2-07 확장과 신규 유형 중 decision request; S-13과 합치지 않음; ID 미부여·no pNN HOLD
DIAG-G08	S-08,S-09	재사용 진단군: SM2-01 등거리·외심; S-09는 SM2-09 보조	등거리 대상: 삼각형 세 꼭짓점 ↔ 포물선과 직선의 두 교점	점의 자취·선별: 자유 평면 외심 ↔ 포물선 위 점과 양수 x좌표	등거리식의 이차항 상쇄, 수직이등분선, 양수 선별을 누락하는 오류	기출축 ★(2025-2M 1회; 같은 회차 S-08,S-09) / 부교재축 SM2-01 ★★, SM2-09 ★★★(math2.md:52-61,156-163)	C-05 insufficient·단답 형식만 관찰; C-09 구하시오형 강화	SM2-01 직접 외심형과 자취 결합형 diff 후보; 같은 회차 다문항으로 별 상향 금지; no pNN HOLD
DIAG-G09	S-11,S-16	재사용 진단군: SM2-12 각 이등분선; S-16은 SM2-21 접선 후속 결합	두 선 조건: 두 일반 직선에 동시 접함 ↔ x축과 주어진 직선의 예각 이등분	선별·요구: 고정 x좌표로 두 중심 선별 ↔ 제1사분면 접점과 접선 y절편	플러스·마이너스 이등분선, 예각·사분면 가지, 접점 공식을 잘못 선택하는 오류	기출축 ★(2025-2M 1회; S-11,S-16) / 부교재축 SM2-12 ★★, SM2-21 ★★(math2.md:187-195,293-300)	C-05 insufficient·단답 형식만 관찰; C-09 구하시오형 강화	SM2-12 actual-exam 변형과 SM2-21 후속 결합 diff 후보; S-17은 이 군에서 제외; no pNN HOLD
DIAG-U10	S-07,S-10,S-12	BLOCKED exact-cover bookkeeping umbrella only; 세 문항은 서로 독립 subgroup이며 하나의 reusable type가 아님	독립 subgroup generator: S-07 원 위 점-직선 거리 극값(SM2-25) / S-10 연속 대칭 최단경로(SM2-33) / S-12 역삼각부등식 거리차 decision request	독립 equality 조건: 중심거리와 반지름 가감 / 대칭점의 일직선 equality / 거리차 상한과 x축 위 equality feasibility	S-07 반지름 가감, S-10 대칭 대상·순서, S-12 삼각부등식과 역삼각부등식·등호 성립을 각각 혼동하는 오류	통합 중요도 산정 BLOCKED; subgroup별 기출축은 각각 ★(2025-2M 1회), 부교재축은 SM2-25 ★★ / SM2-33 ★★★ / 인접 SM2-02 ★★	C-05는 세 subgroup 모두 insufficient·형식만 관찰; C-09 구하시오형만 강화	5~12 row 제약을 위한 비재사용 bookkeeping row; S-10과 S-12를 하나의 유형으로 통합하지 않으며 subgroup별 diff/decision을 분리하고 no pNN HOLD
