item_id	type_id	invariant	non_numeric_axis_1	non_numeric_axis_2	structural_difference	nearest_prior	verdict
A/1	[IN-04 + IN-06 + IN-02 · Tier 미확정 · DF1·DF7]	기존 코드의 실행 의미	고정 입력→출력의 역상 전체	 순추적→분기별 역산 완전성	첫 줄의 초기 잔액을 0 이상 20 이하의 정수 x로 바꾼다. 최종 잔액이 9가 되는 x를 모두 찾고, 마지막 수수료부터 거꾸로 가능한 직전 잔액을 구하여 빠짐이 없음을 설명하시오.	output/260910/260910_01_info_composite_a_questions_review.md#1	REVIEW
A/2	[IN-09 + IN-11 + IN-06 · Tier 미확정 · DF1·DF7]	기존 코드의 실행 의미	자료값→일반 입력 조건	 실행 순서 비교→필요충분조건	길이가 4인 임의의 정수 리스트를 [p,q,r,s]라고 하자. 반복문을 원래 순서 1,2,3으로 실행한 결과와 반대 순서 3,2,1로 실행한 결과가 같아지는 p,q의 필요충분조건을 구하고, r,s에는 왜 제한이 없는지 설명하시오.	output/260910/260910_01_info_composite_a_questions_review.md#2	REVIEW
A/3	[IN-19 + IN-10 + IN-01 · Tier 미확정 · DF1·DF7]	기존 코드의 실행 의미	주어진 두 실행→합성의 복원조건	 출력 나열→반례 구성	길이 4이고 원소가 서로 다른 정수 리스트 a를 생각한다. k=a[0]%4라 할 때 rotate를 두 번 적용하면 원래 리스트로 돌아오기 위한 a[k]의 나머지 조건을 k로 나타내시오. 또한 길이 4의 순열 [0,1,2,3]을 재배열한 입력 중 두 번 적용해도 복원되지 않는 반례 하나와 두 결과를 제시하시오.	output/260910/260910_01_info_composite_a_questions_review.md#3	REVIEW
A/4	[IN-22 + IN-13 + IN-09 · Tier 미확정 · DF1·DF7]	기존 코드의 실행 의미	값 계산→조건 동치 판단	 정해진 표→구별 입력 설계	각 행 길이가 3이고 모든 원소가 정수라고 하자. if 조건을 row[0] < max(row)로 바꾸는 것은 모든 입력에서 동치인가? row[0] < row[1]로 바꾸는 것도 동치인가? 각각 판단하고, 비동치인 경우 두 프로그램의 total이 달라지는 한 행짜리 표를 제시하시오.	output/260910/260910_01_info_composite_a_questions_review.md#4	REVIEW
A/5	[IN-14 + IN-03 + IN-04 · Tier 미확정 · DF1·DF7]	기존 코드의 실행 의미	추적→독립 조건 시험 설계	 단일 자료→최소 차이 자료 묶음	word의 길이는 6이고 각 글자는 A 또는 B이다. part의 두 조건을 C1: part[0]==part[-1], C2: part[1]!=part[2]라 하자. 기준 문자열 W와, W에서 정확히 한 글자만 바꾼 U,V를 설계하여 W에서는 둘 다 참, U에서는 C1만 거짓, V에서는 C2만 거짓이 되게 하시오. 세 문자열의 실제 출력도 쓰시오.	output/260910/260910_01_info_composite_a_questions_review.md#5	REVIEW
A/6	[IN-08 + IN-09 + IN-02 · Tier 미확정 · DF1·DF7]	기존 코드의 실행 의미	고정 한도→한도 구간 역구성	 개별 실행→양수 전제의 충분성	size가 [4,3,5,2]일 때 상자 한도 10을 0 이상의 정수 C로 바꾼다. 정확히 3개를 담고 멈추는 모든 C를 구하시오. 이어서 크기가 양수인 임의의 리스트에서 정확히 k개(0≤k<전체 개수)를 담는 C의 조건을 누적합으로 설명하시오.	output/260910/260910_01_info_composite_a_questions_review.md#6	REVIEW
A/7	[IN-19 + IN-03 + IN-06 · Tier 미확정 · DF1·DF7]	기존 코드의 실행 의미	유한 열거→전 입력 분류	 출력값→모수에 따른 존재·유일성	함수 f는 그대로 두고, 양의 정수 n과 k에 대하여 f(n)=k이고 f(n+1)>k인 n이 존재하는 k의 조건을 구하시오. 조건을 만족하는 모든 n을 k로 나타내고, 홀수 n과 짝수 n을 나누어 빠짐없이 설명하시오.	output/260910/260910_01_info_composite_a_questions_review.md#7	REVIEW
A/8	[IN-07 + IN-13 + IN-22 + IN-03 · Tier 미확정 · DF1·DF7]	기존 코드의 실행 의미	주어진 순위→중복 없음 정당화	 동점 규칙→최소 반례	이 순위 코드가 임의의 n개 행에 대해 1부터 n까지의 서로 다른 순위를 만드는 이유를 설명하시오. 동점 조건 j<i를 j<=i로 바꾸면 무엇이 잘못되는지, 행이 하나뿐인 가장 작은 반례를 제시하시오.	output/260910/260910_01_info_composite_a_questions_review.md#8	REVIEW
A/9	[IN-07 + IN-09 + IN-06 · Tier 미확정 · DF1·DF7]	기존 코드의 실행 의미	열거 계산→검사 생략의 전제	 정렬 자료→전제 제거 반례	a가 엄격히 증가하는 정수 리스트일 때, 안쪽 반복에서 차이가 4를 초과한 첫 순간 이후의 j는 검사하지 않아도 되는 이유를 설명하시오. 오름차순 전제가 없으면 이 생략이 틀리는 길이 3의 반례를 만들고 정상 개수와 생략한 개수를 쓰시오. 새 파이썬 명령어를 작성할 필요는 없다.	output/260910/260910_01_info_composite_a_questions_review.md#9	REVIEW
A/10	[IN-08 + IN-11 + IN-09 · Tier 미확정 · DF1·DF7]	기존 코드의 실행 의미	변경 상태 추적→오류 유발 입력	 단일 결과→반례 최소성 증명	현재 코드는 같은 값이 연속한 묶음을 한 개로 줄인다. 삭제 직후에도 i를 1 증가시키면 틀리는 가장 짧은 정수 리스트를 제시하고 두 최종 리스트를 쓰시오. 길이가 더 짧으면 왜 반례가 될 수 없는지 설명하시오.	output/260910/260910_01_info_composite_a_questions_review.md#10	REVIEW
