item_id	source_lines	rendered_evidence_status	assignment_or_BLOCKED	existing_type_or_decision_request	rationale	tier	tier_basis	observed_trap	confidence
W-01	corpus/EX-math2-20252M/transcript.md:31-34	BLOCKED-no-pNN	진단 배정: SM2-08 평행·수직 조건	기존 유형 SM2-08; 정식 제안은 pNN 확보 전 HOLD	주어진 점을 지나면서 기준 직선에 수직인 직선을 정하는 구조이며 SM2-08의 수직 조건과 일치한다(analysis/catalog/math2.md:147-153).	T1	직접 서술 자극에서 수직 기울기와 점-기울기식을 적용하는 1~2단계 표준 계산; 서술형 10점은 세부 배점표가 없어 인지 복잡도로만 판정	기준 직선의 기울기 부호를 잘못 읽거나 음의 역수에서 부호를 다시 뒤집는 오류	medium
W-02	corpus/EX-math2-20252M/transcript.md:35-38	BLOCKED-no-pNN	진단 배정: SM2-15 원의 결정	기존 유형 SM2-15; 정식 제안은 pNN 확보 전 HOLD	지름의 양 끝점 두 개로 원의 방정식을 결정하는 구조가 SM2-15의 지름 양 끝점 변형 축과 직접 일치한다(analysis/catalog/math2.md:234-242).	T2	중점으로 중심을 정하고 지름의 절반으로 반지름을 정한 뒤 방정식을 쓰는 2~3단계 표준 변형; 서술형 10점은 세부 배점표 부재	지름의 길이를 반지름으로 그대로 쓰거나 중심 좌표의 부호를 표준형에 반대로 넣는 오류	medium
W-03	corpus/EX-math2-20252M/transcript.md:39-43	BLOCKED-no-pNN	진단 배정: SM2-31 이동의 합성	기존 유형 SM2-31; 정식 제안은 pNN 확보 전 HOLD	원을 평행이동한 뒤 x축 대칭이동하고 최종 방정식을 쓰는 2단 합성으로 SM2-31의 대표 구조와 일치한다(analysis/catalog/math2.md:407-415).	T3	평행이동과 대칭이동의 순서를 보존하고 식의 부호까지 추적하는 3단계 조건 결합; 서술형 10점은 세부 배점표 부재	합성 순서를 뒤바꾸거나 x축 대칭에서 중심의 y좌표 부호를 바꾸지 않는 오류	medium
W-04	corpus/EX-math2-20252M/transcript.md:44-48	BLOCKED-no-pNN	진단 배정: SM2-27 주축 + SM2-11 보조	기존 유형 결합 SM2-27/SM2-11; 정식 제안은 pNN 확보 전 HOLD	두 포물선의 정점으로 이동량을 역추적해 직선의 상을 구한 뒤 평행선 사이 거리를 묻는다; SM2-27의 포물선 정점 이동과 SM2-11의 평행선 거리 결합이다(analysis/catalog/math2.md:176-183,363-369).	T3	이동량 역추적-직선 이동-평행선 거리의 조건 결합 3단계이며 DF2와 DF9가 활성화되지만 비정형 발상까지는 요구하지 않음	포물선 계수를 단순 비교해 이동량을 잘못 잡거나 직선 이동식의 대입 부호와 거리 공식의 분모를 틀리는 오류	medium
S-01	corpus/EX-math2-20252M/transcript.md:52-54	BLOCKED-no-pNN	진단 배정: SM2-03 내분점	기존 유형 SM2-03; 정식 제안은 pNN 확보 전 HOLD	두 점을 주어진 비로 내분하는 점의 좌표를 직접 구하는 문항으로 SM2-03의 핵심 공식 적용 구조다(analysis/catalog/math2.md:78-86).	T1	원문 배점 3.0점이며 단일 개념과 정형 계산 1단계 중심으로 DIFFICULTY_RUBRIC의 T1 범위에 해당(analysis/catalog/DIFFICULTY_RUBRIC.md:49-53)	내분 공식의 가중치 순서를 뒤집어 A와 B의 계수를 바꾸는 오류	medium
S-02	corpus/EX-math2-20252M/transcript.md:55-59	BLOCKED-no-pNN	진단 배정: SM2-08 평행·수직 조건	기존 유형 SM2-08; 정식 제안은 pNN 확보 전 HOLD	한 직선에 대한 수직 조건과 다른 직선에 대한 평행 조건으로 두 상수를 각각 정하는 구조가 SM2-08의 조건 변형 축과 일치한다(analysis/catalog/math2.md:147-153).	T1	원문 배점 3.1점이며 두 표준 조건을 각각 직접 적용한 뒤 조합값을 구하는 정형 계산으로 T1 배점대에 해당	일반형 직선의 기울기에서 x계수와 y계수의 부호를 혼동하거나 평행과 수직 조건을 서로 바꾸는 오류	medium
S-03	corpus/EX-math2-20252M/transcript.md:60-64	BLOCKED-no-pNN	진단 배정: SM2-26 점의 평행이동	기존 유형 SM2-26; 정식 제안은 pNN 확보 전 HOLD	점을 주어진 이동량만큼 옮긴 후 직선 위 조건에 대입해 상수를 정하는 구조가 SM2-26의 이동 후 특정 직선 위 조건과 일치한다(analysis/catalog/math2.md:354-360).	T1	원문 배점 3.1점이며 좌표 이동 후 한 번 대입하는 1~2단계 단일 개념 적용으로 T1 배점대에 해당	음의 x방향 이동을 반대로 더하거나 원래 점을 이동 후 직선에 대입하는 오류	medium
S-04	corpus/EX-math2-20252M/transcript.md:65-69	BLOCKED-no-pNN	진단 배정: SM2-08 주축 + SM2-03 보조	기존 유형 결합 SM2-08/SM2-03; 정식 제안은 pNN 확보 전 HOLD	내분점을 구한 뒤 AB에 수직인 직선을 정하고 y절편을 읽는 결합형으로 SM2-03과 SM2-08을 순차 적용한다(analysis/catalog/math2.md:78-86,147-153).	T1	원문 배점 3.1점이 T1 신호이며 각 단계는 내분-수직 기울기-절편의 정형 절차; 구조상 3단계이므로 T2 경계 가능성은 감사 대상	1:2 내분의 기준점 순서를 뒤집거나 AB의 기울기 대신 좌표차를 그대로 수직 기울기로 쓰는 오류	medium
S-05	corpus/EX-math2-20252M/transcript.md:70-73	BLOCKED-no-pNN	진단 배정: 신규 결정 요청 후보(매개변수 직선 교점의 사분면 범위)	ID 미부여 결정 요청; SM2-07 확장 또는 별도 유형 여부를 검토하고 정식 제안은 pNN 확보 전 HOLD	두 매개 직선의 교점을 k로 나타내고 제1사분면의 엄격 부등식으로 k의 범위를 정하는 구조는 현재 SM2-07의 공선·직선 결정 범위를 넘어서는 것으로 진단한다(analysis/catalog/math2.md:137-145).	T2	원문 배점 3.1점은 T1 신호지만 교점의 유리식 도출, 분모 부호 분기, x와 y의 엄격 부등식 교집합이 필요해 DF1·DF8 기준에서는 T2 경계로 상향 판정	제1사분면에서 축을 포함해 등호를 넣거나 교점 좌표식의 분모 부호와 두 부등식의 교집합을 누락하는 오류	medium
S-06	corpus/EX-math2-20252M/transcript.md:74-78	BLOCKED-no-pNN	진단 배정: SM2-19 주축 + SM2-15 보조	기존 유형 결합 SM2-19/SM2-15; 정식 제안은 pNN 확보 전 HOLD	기존 원의 중심을 유지하고 한 점으로 반지름을 정한 뒤 y축이 만드는 현의 길이를 구하므로 SM2-15의 원 결정과 SM2-19의 현 길이를 결합한다(analysis/catalog/math2.md:234-242,275-281).	T1	원문 배점 3.1점이며 중심-반지름 결정 후 축과의 현 길이를 구하는 표준 계산; 단계 수는 2~3이지만 자료 간접성이나 비정형 발상은 없음	새 원의 반지름을 기존 원과 같다고 오인하거나 y축까지 중심 거리와 현의 반길이를 혼동하는 오류	medium
